date;associates
2021-12-25 09:59:00;28599
2021-12-25 14:21:00;28602
2021-12-25 18:21:00;28605
2021-12-25 22:21:00;28621
2021-12-26 02:21:00;28621
2021-12-26 06:21:00;28612
2021-12-26 10:21:00;28613
2021-12-26 11:07:00;28613
2021-12-26 15:07:00;28621
2021-12-26 19:07:00;28623
2021-12-26 23:07:00;28631
2021-12-27 03:07:00;28632
2021-12-27 07:07:00;28625
2021-12-27 11:07:00;28620
2021-12-27 12:05:00;28632
2021-12-27 16:05:00;28684
2021-12-27 20:05:00;28710
2021-12-28 00:05:00;28721
2021-12-28 04:05:00;28721
2021-12-28 08:05:00;28708
2021-12-28 12:05:00;28735
2021-12-28 12:08:00;28736
2021-12-28 16:08:00;28785
2021-12-28 20:08:00;28835
2021-12-29 00:08:00;28840
2021-12-29 04:08:00;28840
2021-12-29 08:08:00;28853
2021-12-29 12:08:00;28912
2021-12-29 12:35:00;28922
2021-12-29 16:35:00;28988
2021-12-29 20:35:00;29057
2021-12-30 00:35:00;29071
2021-12-30 04:35:00;29072
2021-12-30 08:35:00;29067
2021-12-30 12:35:00;29178
2021-12-30 13:01:00;29189
2021-12-30 17:01:00;29308
2021-12-30 21:01:00;29392
2021-12-31 01:01:00;29423
2021-12-31 05:01:00;29429
2021-12-31 09:01:00;29448
2021-12-31 13:01:00;29639
2021-12-31 17:01:00;29654
2021-12-31 21:01:00;29783
2022-01-01 01:01:00;29860
2022-01-01 05:01:00;29881
2022-01-01 09:01:00;29851
2022-01-01 09:24:00;29851
2022-01-01 13:24:00;29853
2022-01-01 14:00:00;29855
2022-01-01 18:00:00;29854
2022-01-01 22:00:00;29885
2022-01-02 02:00:00;29885
2022-01-02 06:00:00;29858
2022-01-02 10:00:00;29860
2022-01-02 14:00:00;29860
2022-01-02 18:04:00;29858
2022-01-02 22:04:00;29861
2022-01-03 02:04:00;29861
2022-01-03 06:04:00;29848
2022-01-03 10:04:00;29848
2022-01-03 14:04:00;29860
2022-01-03 14:53:00;29859
2022-01-03 18:53:00;29862
2022-01-03 22:53:00;29863
2022-01-04 02:53:00;29863
2022-01-04 06:53:00;29858
2022-01-04 10:53:00;29858
2022-01-04 14:53:00;29862
2022-01-04 15:34:00;29862
2022-01-04 19:34:00;29865
2022-01-04 23:34:00;29897
2022-01-05 03:34:00;29897
2022-01-05 07:34:00;29891
2022-01-05 11:34:00;29887
2022-01-05 15:34:00;29889
2022-01-05 15:50:00;29889
2022-01-05 19:50:00;29895
2022-01-05 23:50:00;29897
2022-01-06 03:50:00;29897
2022-01-06 07:50:00;29895
2022-01-06 11:50:00;29897
2022-01-06 15:50:00;29898
2022-01-06 16:35:00;29897
2022-01-06 20:35:00;29901
2022-01-07 00:35:00;29901
2022-01-07 05:35:00;29898
2022-01-07 09:35:00;29899
2022-01-07 13:35:00;29905
2022-01-07 17:35:00;29910
2022-01-07 21:35:00;29911
2022-01-08 01:35:00;29911
2022-01-08 05:35:00;29892
2022-01-08 05:57:00;29892
2022-01-08 09:57:00;29893
2022-01-08 13:57:00;29907
2022-01-08 17:57:00;29909
2022-01-08 21:57:00;29913
2022-01-09 02:03:00;29917
2022-01-09 06:03:00;29899
2022-01-09 10:03:00;29899
2022-01-09 14:03:00;29901
2022-01-09 18:03:00;29902
2022-01-09 22:03:00;29904
2022-01-10 02:03:00;29904
2022-01-10 06:28:00;29877
2022-01-10 10:28:00;29877
2022-01-10 14:28:00;29880
2022-01-10 18:28:00;29882
2022-01-10 22:28:00;29879
2022-01-11 02:28:00;29879
2022-01-11 06:52:00;29884
2022-01-11 10:52:00;29889
2022-01-11 14:52:00;29890
2022-01-11 18:52:00;29889
2022-01-11 22:52:00;29883
2022-01-12 02:52:00;29890
2022-01-12 03:02:00;29890
2022-01-12 07:02:00;29893
2022-01-12 11:02:00;29891
2022-01-12 15:02:00;29884
2022-01-12 19:02:00;29887
2022-01-12 23:02:00;29886
2022-01-13 03:02:00;29886
2022-01-13 07:29:00;29897
2022-01-13 11:29:00;29899
2022-01-13 15:29:00;29899
2022-01-13 23:21:00;29908
2022-01-14 07:21:00;29907
2022-01-14 11:21:00;29904
2022-01-14 15:21:00;29911
2022-01-14 16:27:00;29916
